Timestamp,Age,Gender,Employment Status  ,Income Level (per Month) ,How often do you shop for products?,Which platform do you prefer for promotions? ,How often do you purchase products on discount? ,"How often do you wait for a sale before purchasing expensive items(e.g, electronics , fashion items)?","Do you usually plan your purchases around promotional events (e.g., holiday sales, clearance sales)?  ",Do promotions/offers encourage you to buy more than you originally intended?,Have you ever bought a product impulsively due to a discount or promotion?  ,"On average, how much more likely are you to purchase🛒 a product when it’s on sale?  ",Which type of promotions most influences your decision to buy a product?  ,How often do you use coupons or discount codes when shopping online,Do you prefer percentage discounts or fixed amount discounts?  ,How important are discounts when comparing two similar products?   ,Have you ever switched brands because of a discount or promotion?,Which promotional event influences your purchasing the most?,Would you continue purchasing from a brand if they stopped offering discounts?, Do you think discounts lower the perceived quality of a product?,How important are discounts in maintaining your loyalty to a brand? ,Does a brand offering regular promotions increase your trust in that brand?,How much does a discount influence your decision to buy from a specific brand?,"After purchasing a discounted product, how likely are you to return to the brand for full-price purchases?",How much does your perception of a brand change when it frequently offers heavy discounts?,Column 27
02/10/2024 14:43:29,16-25,Female,Unemployed,"Below 30,000",Rarely,Both equally,Sometimes,Sometimes,Sometimes,Yes,Yes,3,Buy-one-get-one free,Often,Percentage discount,Neutral,Yes,End-of-Season Sales,Maybe,Sometimes,Neutral,Neutral,Somewhat influences,Neutral,Neutral,
02/10/2024 14:44:44,16-25,Male,Unemployed,"Below 30,000",Monthly,Both equally,Sometimes,Always,Sometimes,Yes,Yes,5,Cashback offers,Always,Percentage discount,Neutral,No,Diwali Sales,Maybe,Sometimes,Very important,Neutral,Somewhat influences,Neutral,Neutral,
02/10/2024 14:54:46,16-25,Female,Student,"Below 30,000",Rarely,In-store,Always,Often,Yes,Yes,Yes,2,Cashback offers,Often,Percentage discount,Very important,Yes,Diwali Sales,Maybe,Yes,Very important,Yes,Somewhat influences,Very likely,Neutral,
02/10/2024 14:57:13,16-25,Male,Student,"Below 30,000",Weekly,Online,Often,Often,Yes,Yes,Yes,3,Percentage discount,Always,Percentage discount,Very important,No,Flash Sales,Maybe,Sometimes,Very important,Yes,Somewhat influences,Somewhat likely,Positive,
02/10/2024 14:59:37,16-25,Female,Student,"Below 30,000",Rarely,Both equally,Often,Sometimes,Yes,Yes,Yes,3,Percentage discount,Often,Percentage discount,Neutral,No,End-of-Season Sales,Yes,Sometimes,Neutral,Neutral,Somewhat influences,Somewhat likely,Negative,
02/10/2024 15:00:59,16-25,Female,Student,"Below 30,000",Rarely,In-store,Often,Sometimes,Sometimes,Sometimes,Yes,1,Flash sales/limited-time offers,Often,Percentage discount,Somewhat important,No,End-of-Season Sales,Maybe,Sometimes,Somewhat important,Neutral,Somewhat influences,Somewhat likely,Negative,
02/10/2024 15:38:08,16-25,Male,Unemployed,"Below 30,000",Rarely,In-store,Often,Sometimes,No,Yes,No,2,Buy-one-get-one free,Often,Fixed amount discount,Very important,Yes,Diwali Sales,Maybe,No,Somewhat important,Neutral,Somewhat influences,Neutral,Neutral,
02/10/2024 16:43:09,16-25,Female,Student,"Below 30,000",Rarely,Both equally,Always,Sometimes,Sometimes,Sometimes,Yes,1,Buy-one-get-one free,Rarely,Percentage discount,Very important,No,Diwali Sales,Yes,Yes,Somewhat important,Yes,Neutral,Somewhat likely,Positive,
02/10/2024 16:43:15,16-25,Male,Employed,"Below 30,000",Rarely,Online,Rarely,Rarely,Yes,Yes,Yes,4,Cashback offers,Often,Fixed amount discount,Very important,Yes,Diwali Sales,Yes,No,Very important,Yes,Strongly influences,Very likely,Positive,
02/10/2024 16:47:36,16-25,Female,Student,"Below 30,000",Monthly,Both equally,Sometimes,Always,Sometimes,Yes,No,1,Percentage discount,Never,Percentage discount,Somewhat important,No,Diwali Sales,Maybe,Yes,Very important,Neutral,Somewhat influences,Somewhat likely,Positive,
